id,english,banjara,notes,audio_file,timestamp
1,"How much is this potato?","ee aalure kai bhaav che?","ee-this, aalu re-pototo's, kai-what, bhaav che - rate/price/value",ee_aalure_kai_bhaav_che.webm,2026-02-10T06:24:13.356Z
2,"This vegetable is fresh.","ee sabji taaja che","ee-this, sabji-vegetable, taaja-fresh, che-is",ee_sabji_taaja_che.webm,2026-02-10T06:25:21.788Z
3,"I need 1 kg of rice.","manne ek kilo chaaval chavche","manne-I, ek kilo - 1 KG, chaaval-rice, chavche-want",manne_ek_kilo_chaaval_chavche.webm,2026-02-10T06:26:31.764Z
4,"Do you have milk?","taar kan doodh che ge?","taar-you, kan-near, doodh-milk, che ge - have?",taar_kan_doodh_che_ge.webm,2026-02-10T06:28:02.524Z
5,"The price is too high.","eer bhaav ghano jaada che","eer-its, bhaav-price, ghano-very, jaada-more/high",eer_bhaav_ghano_jaada_che.webm,2026-02-10T06:29:17.804Z
6,"Reduce the price a little.","eer bhaav chanik kamm kar","eer-its, bhaav-price,  chanik-litte,  kamm kar-reduce",eer_bhaav_chanik_kamm_kar.webm,2026-02-10T06:30:27.284Z
7,"I will not pay this much.","me attra bhanduni.","me-i, attra-this much, bhanduni-will not pay",me_attra_bhanduni.webm,2026-02-10T06:31:29.956Z
8,"Is this shop open?","ee dukan khulla che ge?","ee-this, dukan-shop, khulla-open, che ge - is",ee_dukan_khulla_che_ge.webm,2026-02-10T06:32:40.028Z
9,"When will you close?","Tu kanna bandh karechi?","Tu-you, kanna-when, bandh-close, karechi-will you do",tu_kanna_bandh_karechi.webm,2026-02-10T06:34:43.524Z
10,"Give me change.","mann ek mauka de","mann-me, ek-one, mauka-chance, de-give",mann_ek_mauka_de.webm,2026-02-10T06:35:50.092Z
11,"Make tea for me.","maar vasu chaai kar","maar vasu - for me, chaai-tea, kar-do",maar_vasu_chaai_kar.webm,2026-02-10T06:36:49.788Z
