id,english,banjara,notes,audio_file,timestamp
1,"In present-day Telangana.","aajer daaderma telangana ma che","aajer-today's, daaderma-in day, telangana-telangane, ma che - is in",aajer_daaderma_telangana_ma_che.wav,2026-02-12T05:16:20.269Z
2,"He felt the presence of Goddess Jagadamba.","Voon votthe Jagadamba devi che ju anubhav vi","Voon-him, votthe-there, Jagadamba devi- Jagadamba godess, che ju-presence, anubhav vi-felt so",voon_votthe_jagadamba_devi_che_ju_anubhav_vi.wav,2026-02-12T05:18:58.013Z
3,"Also known as Goddess Mariamma Yaadi.","voonaz Devi mariamma yaadi ken bhi kach","voonaz-her, Devi-godess, mariamma-mariamma, yaadi-mother, ken-meant, bhi-also, kach-said",voonaz_devi_mariamma_yaadi_ken_bhi_kach.wav,2026-02-12T05:22:14.645Z
4,"He wished to offer her something.","voone, vu devi ne kai thoi chadavnu ken lago","voone-him, vu-that, devi ne-to godesses, kai thoi-something, chadavnu-offer/give, ken lago- felt so",voone_vu_devi_ne_kai_thoi_chadavnu_ken_lago.wav,2026-02-12T05:25:19.094Z
5,"But he possessed nothing.","panan vor kan kaai vetto koni.","panan-but, vor-him, kan-near, kaai-what ever, vetto-present/possess, koni-not",panan_vor_kan_kaai_vetto_koni.wav,2026-02-12T05:26:49.118Z
6,"No food.","daliya chey","daliya-food, chey-no/not there",daliya_chey.wav,2026-02-12T05:28:41.597Z
7,"No flowers.","Phool bhi chey.","Phool-flowers, bhi-also, chey- no/not there",phool_bhi_chey.wav,2026-02-12T05:29:46.445Z
8,"No material offerings.","kaai chadayenez vetti koni","kaai-what, chadayenez-to offer, vetti-there, koni-not.",kaai_chadayenez_vetti_koni.wav,2026-02-12T05:30:58.461Z
9,"So he took mud and wheat.","tho haatherma dhud an gahu leedho","tho-then, haatherma-in hands, dhud-mud, an-and, gahu-wheat, leedho-took",tho_haatherma_dhud_an_gahu_leedho.wav,2026-02-12T05:33:16.589Z
10,"With pure devotion, he prepared sheera from mud.","voor bhakthi thi, dhud eethi sheera banayo","voor-his, bhakthi-devotion, thi-with, dhud-mudd, eethi-with, sheera-sheera/sweet, banayo-prepared,cooked,made",voor_bhakthi_thi_dhud_eethi_sheera_banayo.wav,2026-02-12T05:36:21.629Z
