banjara_00001.wav|apeer peena vur khetari, charayer jammi shee kheench lide
banjara_00002.wav|apner kunta, talav, khalya, vavdi vun bhi japth kidhe
banjara_00003.wav|apener yaadi bheenevun, kor kyar katraiko vela paade
banjara_00004.wav|apan gor uen pichadiur nai vendeevur naai dheete
banjara_00005.wav|ass bhaveturmaa, Sant Sevalal Maharaj roshni laayo
banjara_00006.wav|dabamele jendun hoto izzat laayo
banjara_00007.wav|niraashema hoto aasha jagayo
banjara_00008.wav|satre soo eer anth eer ma
banjara_00009.wav|Hyderabad Nizam eer heet vetthi
banjara_00010.wav|eek bhayanak cholera mahaamaaree aayithi
