id,english,banjara,notes,audio_file,timestamp
1,"Our traditional grazing lands were restricted.","apeer peena vur khetari, charayer jammi shee kheench lide","aapner-our, peenaro-traditional, apeer-our, peena vur-traditional, khetari-fields'farms, charayer-graising, jammi-lands, shee-all, kheench lide - took away/ restricted",apeer_peena_vur_khetari_charayer_jammi_shee_kheench_lide.wav,2026-02-12T08:37:27.807Z
2,"Our water sources were controlled.","apner kunta, talav, khalya, vavdi vun bhi japth kidhe","aapner-our, paani-water, apner-our, kunta-lake, talav-pond, khalya-canal/stream, vavdi-well,  vun bhi- also, japth-controlled, kidhe-did",apner_kunta_talav_khalya_vavdi_vun_bhi_japth_kidhe.wav,2026-02-12T08:40:36.078Z
3,"Our women faced violence from settled communities.","apener yaadi bheenevun, kor kyar katraiko vela paade","aapner-our, eeti-from, apener-our, yaadi vun-mothers, bheene vun-sisters, kor kyar - Kor (other than Gor)/other settled communities, katraiko-soo much, vela-problems, paade-gave",apener_yaadi_bheenevun_kor_kyar_katraiko_vela_paade.wav,2026-02-12T08:43:32.550Z
4,"Our culture was dismissed as primitive.","apan gor uen pichadiur nai vendeevur naai dheete","aapner-our, apan-our, gor uen-community/gor, pichadiur nai-primitive/low level/low value, vendeevur-mad people, naai-like, dheete-saw/seen",apan_gor_uen_pichadiur_nai_vendeevur_naai_dheete.wav,2026-02-12T08:47:34.054Z
5,"Into this darkness, Sant Sevalal Maharaj brought light.","ass bhaveturmaa, Sant Sevalal Maharaj roshni laayo","ee-this, ass bhaveturmaa-in this problems/in this struggles, Sant Sevalal Maharaj-Sant Sevalal Maharaj, roshni-light, laayo-brought",ass_bhaveturmaa_sant_sevalal_maharaj_roshni_laayo.wav,2026-02-12T08:49:37.446Z
6,"Into this oppression, he brought dignity.","dabamele jendun hoto izzat laayo","ee-this, ee-he, izzat-dignity, dabamele jendun-opressed people, hoto-back, izzat-respect/dignity, laayo-brought",dabamele_jendun_hoto_izzat_laayo.wav,2026-02-12T08:51:23.054Z
7,"Into this despair, he brought hope.","niraashema hoto aasha jagayo","ee-this, ee-he, niraashema-in dispair, hoto-back, aasha-hope, jagayo-woke/raised",niraashema_hoto_aasha_jagayo.wav,2026-02-12T08:53:14.750Z
8,"Late 1700s.","satre soo eer anth eer ma","deer-late, satre-17, soo eer-hundred's,  anth eer-end,  ma-in",satre_soo_eer_anth_eer_ma.wav,2026-02-12T08:55:12.758Z
9,"Hyderabad city under Nizam rule.","Hyderabad Nizam eer heet vetthi","Hyderabad-Hyderabad , Nizam eer-Nizam's, heet-under, vetthi-was there",hyderabad_nizam_eer_heet_vetthi.wav,2026-02-12T08:56:54.070Z
10,"A devastating cholera epidemic struck.","eek bhayanak cholera mahaamaaree aayithi","eek-one, bhayanak-devastating /scary, cholera-cholera, mahaamaaree-epidemic, aayithi-came",eek_bhayanak_cholera_mahaamaaree_aayithi.wav,2026-02-12T08:59:31.302Z
