id,english,banjara,notes,audio_file,timestamp
1,"This is our legacy.","eez aapner parampara che.","ee-this, che-is, aapner-our, eez-this, aapner-our, parampara che - is legacy",eez_aapner_parampara_che.wav,2026-02-12T07:25:34.018Z
2,"In the late 16th century, the Mughal Empire defeated Rana Pratap.","soole shaatbtheer ma, mughaleer aan rana pratap een haaraye","deer-late, soole-16, shaatbtheer-century, ma-in, mughaleer-mughal's, aan-came, rana pratap een - rana pratap, haaraye - defeated",soole_shaatbtheer_ma_mughaleer_aan_rana_pratap_een_haaraye.wav,2026-02-12T07:30:08.577Z
3,"Our community became refugees.","aaper samajeen daabnaake","aapner-our, samaj-community, aaper-our, samajeen-community, daabnaake-opressed",aaper_samajeen_daabnaake.wav,2026-02-12T07:32:41.385Z
4,"We followed Rana Pratap into the forests.","apan rana prathap eer laar jungleuuma chalege","hum-we, apan-we, rana prathap eer-rana prathap's, laar-after/behind, jungleuuma-in forests, chalege-went",apan_rana_prathap_eer_laar_jungleuuma_chalege.wav,2026-02-12T07:34:14.577Z
5,"Then began our great migration south.","jannateez apan dhakshan bharath eer vadi dagaryaye.","tho-then, aapner-our, jannateez-from then only, apan-us/we, dhakshan bharatheer -south of india's,  vadi-side, dagaryaye-came.",jannateez_apan_dhakshan_bharath_eer_vadi_dagaryaye.wav,2026-02-12T07:37:03.665Z
6,"Through Malwa in Madhya Pradesh.","madhya pradesh eer malwa mai thi","madhya pradesh eer-madhya pradesh's, malwa-malwa, mai thi-from inside/from it.",madhya_pradesh_eer_malwa_mai_thi.wav,2026-02-12T07:40:02.441Z
7,"Through Central India.","bharath eer advicha thi","bharath eer-india's advicha-center/middle, thi-from",bharath_eer_advicha_thi.wav,2026-02-12T07:41:12.569Z
8,"Through the Deccan region of Maharashtra.","maharastra mai eer deccan ilaka thi leethanin","eevur-of, maharastra mai eer-inside maharastra, deccan ilaka-deccan region, thi-from,  leethanin-took",maharastra_mai_eer_deccan_ilaka_thi_leethanin.wav,2026-02-12T07:45:44.602Z
9,"Finally settling in Karnataka, Andhra Pradesh, and Telangana.","karnataka, andhra pradesh, telangana lugni nikalyaye","anne-and, karnataka-karnataka, andhra pradesh-andhra pradesh, telangana-telangana, lugni-till, nikalyaye-came from there",karnataka_andhra_pradesh_telangana_lugni_nikalyaye.wav,2026-02-12T07:47:38.504Z
10,"Sant Sevalal's grandfather, Ramji Naik Rathod, led this migration.","sant sevalal eero dadha, Ramji Naik Rathod eer nayaki ma chalpade.","ee-this, sant sevalal eero-sant sevalal's, dadha-grandfather, Ramji Naik Rathod eer-Ramji Naik Rathod's, nayaki-leadership, ma-in, chalpade-started walking/walked.",sant_sevalal_eero_dadha_ramji_naik_rathod_eer_nayaki_ma_chalpade.wav,2026-02-12T07:50:52.792Z
