banjara_00001.wav|eez aapner parampara che.
banjara_00002.wav|soole shaatbtheer ma, mughaleer aan rana pratap een haaraye
banjara_00003.wav|aaper samajeen daabnaake
banjara_00004.wav|apan rana prathap eer laar jungleuuma chalege
banjara_00005.wav|jannateez apan dhakshan bharath eer vadi dagaryaye.
banjara_00006.wav|madhya pradesh eer malwa mai thi
banjara_00007.wav|bharath eer advicha thi
banjara_00008.wav|maharastra mai eer deccan ilaka thi leethanin
banjara_00009.wav|karnataka, andhra pradesh, telangana lugni nikalyaye
banjara_00010.wav|sant sevalal eero dadha, Ramji Naik Rathod eer nayaki ma chalpade.
