id,english,banjara,notes,audio_file,timestamp
1,"Hundreds dying daily.","hazaaruusoo mankya daadi marrethe","hazaaruusoo-thousand's and hundred's of, mankya-people, daadi-daily, marrethe-were dying",hazaaruusoo_mankya_daadi_marrethe.wav,2026-02-12T09:04:41.694Z
2,"The Nizam's royal physicians were helpless.","Nizameer kan chikitsa karevaal bhi haath paad nake","Nizameer-nizam's, kan-near, chikitsa-doctors,physicians, karevaal-doers, bhi-also, haath-hands, paad-rised/lift, nake-did",nizameer_kan_chikitsa_karevaal_bhi_haath_paad_nake.wav,2026-02-12T09:07:15.533Z
3,"Traditional healers could not stop the deaths.","peenavur mandu thi maauth thamri koni vetti","peenaro-traditional, peenavur-Traditional, mandu-medicines, thi-with, maauth-death, thamri-stopping, koni-not, vetti-happening",peenavur_mandu_thi_maauth_thamri_koni_vetti.wav,2026-02-12T09:09:24.957Z
4,"Fear paralyzed the city.","darreethi saari sheer sheelkhal veegithi","darreethi-with fear, saari-all/complete, sheer-city, sheelkhal-frozen/cold, veegithi-happened",darreethi_saari_sheer_sheelkhal_veegithi.wav,2026-02-12T09:11:42.525Z
5,"Then Sant Sevalal Maharaj arrived.","Janna Sant Sevalal Maharaj aayo.","tho-then, Janna-then, Sant Sevalal Maharaj-Sant Sevalal Maharaj, aayo-came.",janna_sant_sevalal_maharaj_aayo.wav,2026-02-12T09:12:33.285Z
6,"With no formal medical degree.","kunshi mandur padai atithi koni","math-no, kunshi-any, mandur-medicinal, padai-education, atithi-knowing/coming, koni-no",kunshi_mandur_padai_atithi_koni.wav,2026-02-12T09:14:15.205Z
7,"No hospital.","Ekki davkaan vette koni","math-no, Ekki-even one, davkaan-hospitals, vette-were, koni-not there/not",ekki_davkaan_vette_koni.wav,2026-02-12T09:15:27.069Z
8,"No modern equipment.","ekki aadunik hatiyar vetti koni","math-no, ekki-even one, aadunik-modern/latest, hatiyar-tools,weapon,equipment, vetti- koni- was not there.",ekki_aadunik_hatiyar_vetti_koni.wav,2026-02-12T09:17:40.181Z
9,"Only his profound knowledge of Ayurveda and Naturopathy.","keval jhaad bhootivur gyaan ekkaz vetthi","vor-his, eevur-of, anne-and, keval-only, jhaad vur -plant's/tree's, bhooti vur-roots, gyaan-knowledge, ekkaz-only one, vetthi-was there",keval_jhaad_bhootivur_gyaan_ekkaz_vetthi.wav,2026-02-12T09:20:56.853Z
10,"He began treating cholera patients systematically.","eek hisaabeethi cholera thi beemar chejeen davaa deeno","ee-he, eek-one, hisaabeethi-calculation/systematically, cholera thi-with cholera, beemar-diseased, chejeen-who have, davaa-medicine, deeno-gave",eek_hisaabeethi_cholera_thi_beemar_chejeen_davaa_deeno.wav,2026-02-12T09:23:50.253Z
