banjara_00001.wav|hazaaruusoo mankya daadi marrethe
banjara_00002.wav|Nizameer kan chikitsa karevaal bhi haath paad nake
banjara_00003.wav|peenavur mandu thi maauth thamri koni vetti
banjara_00004.wav|darreethi saari sheer sheelkhal veegithi
banjara_00005.wav|Janna Sant Sevalal Maharaj aayo.
banjara_00006.wav|kunshi mandur padai atithi koni
banjara_00007.wav|Ekki davkaan vette koni
banjara_00008.wav|ekki aadunik hatiyar vetti koni
banjara_00009.wav|keval jhaad bhootivur gyaan ekkaz vetthi
banjara_00010.wav|eek hisaabeethi cholera thi beemar chejeen davaa deeno
