id,english,banjara,notes,audio_file,timestamp
1,"He brought 360 families from Chittorgarh.","chittorgarh eethi, theen sau saat katmalevun leen nikalo.","ee-he, eeti-from, chittorgarh eethi-from chittorgarh , theen-three, sau-hundred, saat-sixty, katmalevun-families, leen-took, nikalo-left/went",chittorgarh_eethi_theen_sau_saat_katmalevun_leen_nikalo.wav,2026-02-12T07:56:41.728Z
2,"Approximately 2,000 to 3,000 people.","karib karib de hazaar eethi theen hazar mankya vetthe.","een-to, mannkya-people, karib karib-near by/approximately,  de-two, hazaar-thousand, eethi-to, theen- hazar mankya-people, vetthe-were there.",karib_karib_de_hazaar_eethi_theen_hazar_mankya_vetthe.wav,2026-02-12T07:58:39.560Z
3,"An entire community searching for a new homeland.","Vu puuro samaj, navvo jaag een dhoondeen lagpade","samaj-community, Vu-hat, puuro-complete, samaj-community, navvo-new. jaag een-place,  dhoondeen-searching, lagpade-started/doing.",vu_puuro_samaj_navvo_jaag_een_dhoondeen_lagpade.wav,2026-02-12T08:01:03.864Z
4,"Our ancestors' journey of survival.","hannu aapner baap dada vur safar chaalu vi","aapner-our, eevur-of, hannu-like that, aapner-out, baap dada vur-ancestors, safar,journey, chaalu vi-started",hannu_aapner_baap_dada_vur_safar_chaalu_vi.wav,2026-02-12T08:05:05.752Z
5,"By 1739, when Sant Sevalal Maharaj was born, our community faced systematic oppression.","sant Sevalal Maharaj huyo janna, satre sao thees an navv varase lugni, apner samaj katriko veela bhaavetivuthi dabge the","kanna-when, aapner-our, samaj-community, sant Sevalal Maharaj-sant Sevalal Maharaj, huyo janna-when born, , satre sao thees an navv - 1739, varase lugni - by that year, apner samaj-our community, katriko-soo many, veela bhaavetivuthi-problems, dabge the-opressed",sant_sevalal_maharaj_huyo_janna_satre_sao_thees_an_navv_varase_lugni_apner_samaj_katriko_veela_bhaavetivuthi_dabge_the.wav,2026-02-12T08:10:47.663Z
6,"The caste system denied us dignity.","dusar jaatheevur kann goreevur izzat gamgi","apnen-us, izzat-dignity, dusar-other, jaatheevu-cast's/clan's, kann-near, goreevur-gor's, izzat-dignity, gamgi-lost",dusar_jaatheevur_kann_goreevur_izzat_gamgi.wav,2026-02-12T08:14:41.183Z
7,"We were classified as outside the social hierarchy.","apnuune kor kyar samaj eethi duur karan deete.","hum-we, baar-outside, apnuune-to us, kor kyar- other than gor community, samaj-community, eethi-with, duur-far/away, karan-did, deete-saw/seen",apnuune_kor_kyar_samaj_eethi_duur_karan_deete.wav,2026-02-12T08:18:53.519Z
8,"Nomadic communities were labeled ""Criminal Tribes"" by the British.","Voor pachhe, britisheevur aathanin, goruuv shee ""Criminal Tribes"" kethanin naam paade","panan-but, Voor pachhe-after that, britisheevur-britisher's, aathanin-came and,, goruuv shee -all Gor,Criminal-aparadhi, Tribes-aadivasi, kethanin-said so, naam paade- name was labeled.",voor_pachhe_britisheevur_aathanin_goruuv_shee_criminal_tribes_kethanin_naam_paade.wav,2026-02-12T08:24:05.511Z
9,"Not for crimes committed, but simply for being nomadic.","keeni maar kaatecha keen koni, apan adivasi cha kethanin","aapner-our, keeni-any, maar kaatecha-beating or cutting, keen-meant, koni-no, apan-we, adivasi-tribes/nomadic, cha-were, kethanin-said so",keeni_maar_kaatecha_keen_koni_apan_adivasi_cha_kethanin.wav,2026-02-12T08:26:40.783Z
10,"Our forests were confiscated.","apnevur jungleevuun japt keede.","apnevur-our, jungleevuun-forest's, japt-confiscated/captured, keede-did.",apnevur_jungleevuun_japt_keede.wav,2026-02-12T08:28:48.735Z
