banjara_00001.wav|chittorgarh eethi, theen sau saat katmalevun leen nikalo.
banjara_00002.wav|karib karib de hazaar eethi theen hazar mankya vetthe.
banjara_00003.wav|Vu puuro samaj, navvo jaag een dhoondeen lagpade
banjara_00004.wav|hannu aapner baap dada vur safar chaalu vi
banjara_00005.wav|sant Sevalal Maharaj huyo janna, satre sao thees an navv varase lugni, apner samaj katriko veela bhaavetivuthi dabge the
banjara_00006.wav|dusar jaatheevur kann goreevur izzat gamgi
banjara_00007.wav|apnuune kor kyar samaj eethi duur karan deete.
banjara_00008.wav|Voor pachhe, britisheevur aathanin, goruuv shee "Criminal Tribes" kethanin naam paade
banjara_00009.wav|keeni maar kaatecha keen koni, apan adivasi cha kethanin
banjara_00010.wav|apnevur jungleevuun japt keede.
