id,english,banjara,notes,audio_file,timestamp
1,"The land where Rana Pratap fought for freedom.","Rana Pratap eez jammi par aazadier vasu ladai karmeloch","katth-where, Rana Pratap-Rana Pratap, eez-this only, jammi par- on land, aazadier-of freedom, vasu-for, ladai-fight karmeloch-have done",rana_pratap_eez_jammi_par_aazadier_vasu_ladai_karmeloch.wav,2026-02-12T06:46:42.883Z
2,"We, the Banjaras—also called Lambadis and Gor—belonged to Rajput clans.","banjara, lambadi, gor kajon aapen shee rajput cha","hum-we, balayo-called, anne-and, een-to, banjara-banjara, lambadi-banjara, gor-banjara, kajon-saidso/meant, aapen-us, shee-all, rajput cha-are rajputs",banjara_lambadi_gor_kajon_aapen_shee_rajput_cha.wav,2026-02-12T06:49:01.642Z
3,"Specifically, the Rathod clan of Chittorgarh.","seeti aang rathod kajakon chittorgarh eethi aamech","eer-of chittorgarh, seeti-all, aang-before, rathod-rathod, kajakon-to be ssaid so, meant to be, chittorgarh-chittorgarh, eethi-from, aamech-came",seeti_aang_rathod_kajakon_chittorgarh_eethi_aamech.wav,2026-02-12T06:52:59.242Z
4,"Our ancestors were not merely traders.","apan shee pena jaag jaag pharthaneen vyapaar ekkaaj koni karmele","aapner-our, apan-we, shee-all, pena-ancient/old days, jaag jaag-place to place, pharthaneen-roaming around, vyapaar-business/trading, ekkaaj-only one, koni-not, karmele-have done",apan_shee_pena_jaag_jaag_pharthaneen_vyapaar_ekkaaj_koni_karmele.wav,2026-02-12T06:56:13.402Z
5,"We were the logistics backbone of Rajput armies.","apan rajput sena vur saaman punchadeen mooreer hadkar nai vette","hum-we, eevur-of, apan-we, rajput sena vur -rajput army's, saaman-logistics/goods, punchadeen-to reach/available, mooreer hadkar - backbone, nai-like, vette-were there.",apan_rajput_sena_vur_saaman_punchadeen_mooreer_hadkar_nai_vette.wav,2026-02-12T07:00:16.706Z
6,"We supplied provisions to Prithviraj Chauhan's forces.","apan, prithviraj chauhan eer senaan bhi kai chavtoi deethethe","hum-we, een-to, apan-we/us, prithviraj chauhan eer-prithviraj chauhan's, senaan-army/forces, bhi-also, kai chavtoi-what ever is needed/ what ever is wanted, deethethe-used to give.",apan_prithviraj_chauhan_eer_senaan_bhi_kai_chavtoi_deethethe.wav,2026-02-12T07:03:29.994Z
7,"We transported grain and weapons for Rana Pratap.","apan rana prathap eer vasu daana an hatiyaar leen jaathe the","hum-we, anne-and, apan-we, rana prathap eer-rana prathap's, vasu-for, daana-grains, an-and, hatiyaar-weapons, leen-take/took and, jaathe the- used to go",apan_rana_prathap_eer_vasu_daana_an_hatiyaar_leen_jaathe_the.wav,2026-02-12T07:06:32.825Z
8,"We crossed mountains and rivers with our bullock caravans.","apan baladure bandi bhaandleen katraiko pahad gatla an nadhivun paar karmelecha","hum-we, anne-and, aapner-our, apan-we, baladure-bull's, bandi-bullock cart/cart, bhaandleen-tying/tied, katraiko-soo many, pahad-mountains, gatla-hills, an-and, nadhivun-rivers, paar-cross, karmelecha-did/done.",apan_baladure_bandi_bhaandleen_katraiko_pahad_gatla_an_nadhivun_paar_karmelecha.wav,2026-02-12T07:11:15.786Z
9,"We were warriors and traders.","apan vyapaare anne yoddha vetthe","hum-we, anne-and, apan-we, vyapaare-traders/businessman, anne-and, yoddha-warriors, vetthe-were there.",apan_vyapaare_anne_yoddha_vetthe.wav,2026-02-12T07:13:27.977Z
10,"This is our heritage.","peena thi eez apneer pehechan che","peena thi - from ancient times, eez-this, apneer-our, pehechan che- is identity",peena_thi_eez_apneer_pehechan_che.wav,2026-02-12T07:16:22.514Z
