banjara_00001.wav|Rana Pratap eez jammi par aazadier vasu ladai karmeloch
banjara_00002.wav|banjara, lambadi, gor kajon aapen shee rajput cha
banjara_00003.wav|seeti aang rathod kajakon chittorgarh eethi aamech
banjara_00004.wav|apan shee pena jaag jaag pharthaneen vyapaar ekkaaj koni karmele
banjara_00005.wav|apan rajput sena vur saaman punchadeen mooreer hadkar nai vette
banjara_00006.wav|apan, prithviraj chauhan eer senaan bhi kai chavtoi deethethe
banjara_00007.wav|apan rana prathap eer vasu daana an hatiyaar leen jaathe the
banjara_00008.wav|apan baladure bandi bhaandleen katraiko pahad gatla an nadhivun paar karmelecha
banjara_00009.wav|apan vyapaare anne yoddha vetthe
banjara_00010.wav|peena thi eez apneer pehechan che
