id,english,banjara,notes,audio_file,timestamp
1,"He prepared puri from wheat.","an ghao thi puri banayo","an-and, ghao-wheat, thi-with, puri-puri(dish/indian bread), banayo-prepared",an_ghao_thi_puri_banayo.wav,2026-02-12T05:44:14.925Z
2,"And offered them to the goddess.","banatanin deevini chadayo","banatanin-after preparing/after making, deevini-to goddess, chadayo-offered",banatanin_deevini_chadayo.wav,2026-02-12T05:46:16.589Z
3,"Then, by divine grace, the mud transformed into real sheera.","janna, deevire anugrah eethi, dhud asli sheera re nai badalgo","janna-the, deevire-of goddess, anugrah-grace, eethi-with, dhud-mud, asli-real, sheera re-of sheera(sweet), nai-like, badalgo-transformed/changed",janna_deevire_anugrah_eethi_dhud_asli_sheera_re_nai_badalgo.wav,2026-02-12T05:49:33.332Z
4,"The wheat into real puri.","ghao jakon asli puri re nai badalgo","ghao-wheat, jakon-that is/ therefore, asli-real, puri re-of puri(indian bread), nai-like, badalgo-changed/transformed.",ghao_jakon_asli_puri_re_nai_badalgo.wav,2026-02-12T05:51:38.437Z
5,"This miracle established his divine nature.","ee chamatkar eethi vor mai deever nai che jako svabhaav baar padi","ee-this, chamatkar-miracle, eethi-with, vor-hi,s mai-inside, deever nai-godly/ like god/divine, che jako-being/is there, svabhaav-nature, baar-out, padi-fell",ee_chamatkar_eethi_vor_mai_deever_nai_che_jako_svabhaav_baar_padi.wav,2026-02-12T05:55:39.036Z
6,"Those who witnessed this miracle understood immediately.","hannu veejanna kun kun dite ko vondun jannaz samaj aavgi","hannu-like that, veejanna-happened, kun kun-who all, dite ko-saw, vondun-they, jannaz-than only, samaj-understood, aavgi-came",hannu_veejanna_kun_kun_dite_ko_vondun_jannaz_samaj_aavgi.wav,2026-02-12T05:58:29.988Z
7,"This was not an ordinary child.","ee saadharan chora koni ken.","ee-his/this, saadharan-simple/odinary, chora-boy, koni ken - not so.",ee_saadharan_chora_koni_ken.wav,2026-02-12T06:00:05.476Z
8,"This was a divine incarnation.","Vu bhagvaneero amsh che keen","Vu-he/that, bhagvaneero-of god, amsh-part, che keen-exist/is there",vu_bhagvaneero_amsh_che_keen.wav,2026-02-12T06:02:17.692Z
9,"Blessed by Goddess Jagadamba herself.","Jagadamba deevi reej aashirvaad che keen","Jagadamba deevi-Jagadamba deevi, reej-only of, aashirvaad-blessing, che keen- is there",jagadamba_deevi_reej_aashirvaad_che_keen.wav,2026-02-12T06:04:27.340Z
10,"From that day forward, he was recognized as spiritually awakened.","undaadeethi,  vo se deeveer nai dheken lagpade.","undaadeethi-from that day,  vo se-all of them, deeveer-of god/divine, nai-like, dheken-seen/saw/seeing, lagpade-happened,happening",undaadeethi_vo_se_deeveer_nai_dheken_lagpade.wav,2026-02-12T06:07:58.876Z
