banjara_00001.wav|an ghao thi puri banayo
banjara_00002.wav|banatanin deevini chadayo
banjara_00003.wav|janna, deevire anugrah eethi, dhud asli sheera re nai badalgo
banjara_00004.wav|ghao jakon asli puri re nai badalgo
banjara_00005.wav|ee chamatkar eethi vor mai deever nai che jako svabhaav baar padi
banjara_00006.wav|hannu veejanna kun kun dite ko vondun jannaz samaj aavgi
banjara_00007.wav|ee saadharan chora koni ken.
banjara_00008.wav|Vu bhagvaneero amsh che keen
banjara_00009.wav|Jagadamba deevi reej aashirvaad che keen
banjara_00010.wav|undaadeethi,  vo se deeveer nai dheken lagpade.
